ID,Rotor speed,Gear Temp.,Generator rotation,Env. Temp.,Output,Voltage,Windspeed
124,16.8,63.7,801,9,315,401.19,5.74
125,12.6,66.4,682,4,305,399.41,5.91
126,16.21,66.6,576,10,318,400.18,6.72
127,12.52,63.6,910,10,305,402.37,6.02
128,15.95,68.7,1066,9,317,398.33,6.58
129,17.95,68,502,10,315,397.95,7.3
130,14.23,65.5,512,8,310,400.97,6.54
131,16.17,64.2,1093,9,314,400.16,6.11
132,14.69,62.4,943,6,309,400.8,5.87
133,13.52,67.8,694,9,312,402.24,6.38
134,17.59,60.1,786,10,301,397.48,5.67
135,16.4,60.2,1060,8,306,401.71,5.99
136,15.57,67.8,997,4,311,396.16,6.68
137,17.22,62.6,822,9,303,400.05,6.13
138,15.44,66.6,587,4,314,398.83,6.24
139,17.12,68.9,808,4,316,396.33,7
140,17.89,70.1,1205,6,301,399.02,7.44
141,18.69,69.3,1033,7,305,400.2,7.5
142,16.28,65.3,519,10,302,403.86,8.14
143,16.96,65.6,852,10,319,397.67,8.11
144,13.63,67.6,865,9,306,399.31,8.59
145,13.78,60.2,683,8,326,399.44,8.98
146,18.94,69.9,1309,8,306,396.87,8.35
147,14.89,62,1262,7,300,403.71,8.58
148,15.71,59.7,752,9,325,399.23,9.42
149,17.46,63.5,1352,4,317,399.34,8.53
150,19.19,65.2,525,10,321,398.44,9.06
151,18.81,68.5,1008,10,310,403.12,8.76
152,17.13,66.7,957,5,321,400.13,9.72
153,16.14,65.1,904,8,326,400.16,9.77
154,16.92,65.7,1029,10,323,402.64,10.3
155,18.77,67.6,618,9,321,400.87,10.94
156,16.63,62.3,829,8,316,400.48,11.78
157,20.41,61.3,808,2,309,396.64,11.84
158,18.85,70,1613,10,305,399.3,12.57
159,19.11,65.3,539,6,308,398.45,11.62
160,18.99,60.8,698,9,334,396.84,12.19
161,19.44,70.6,1565,10,301,402.1,11.92
162,18.7,65,530,8,323,396.53,12.68
163,16.05,68.6,571,9,301,399,13.55
164,19.66,66.9,968,3,318,402.78,13.96
165,18.75,66.1,1084,3,301,398.58,14.09
166,16.87,63.8,1938,9,319,400.09,14.42
167,21.44,67.6,992,8,311,401.64,13.68
168,19.41,66.2,1512,9,322,398.22,13.32
169,16.75,62.2,1700,9,308,402.82,14.03
170,19.73,68.9,1188,8,311,397.92,14.27
171,18.03,69.6,1842,9,317,399.89,13.93
172,17.81,67.2,1218,9,336,396.68,13.16
173,17.68,63.1,1089,9,308,403.42,12.54
174,17.59,69.1,1518,10,315,396.18,11.66
175,19.29,61.2,954,10,330,398.98,12.33
176,17.56,66.7,736,8,308,398.25,11.98
177,20,61.8,713,4,324,398.88,11.68
178,18.81,68,559,7,309,402.96,12.67
179,21.39,66.2,1576,6,339,402.31,13.61
180,21.69,61.9,1018,8,315,403.54,13.64
181,21.32,69.6,1701,10,316,399.12,14.11
182,19.85,61.7,1239,9,313,396.96,14
183,18.48,62.1,1096,9,311,397.82,14.01
184,21.72,67.5,1069,6,310,400.58,14.73
185,19.1,60.8,1104,8,301,399.79,14.56
186,17.51,60.3,920,9,327,400.45,14.08
187,17.43,68.3,560,10,321,396.88,13.96
188,16.81,68.4,1507,9,318,398.04,13.24
189,17,67.7,1602,9,333,403.15,13.22
190,17.24,61.3,1218,9,305,402.25,13.94
191,17.85,68,1141,9,342,399.47,14.38
192,21.72,67.5,1323,2,308,399.19,14.82
193,20.93,63.4,1577,7,301,399.42,14.99
194,22.04,69.6,1030,10,336,400.64,15.05
195,18.27,66.9,1336,10,303,402.89,14.72
196,19.6,68.7,1354,6,319,396.5,14.17
197,20.34,63,1488,10,308,398.62,13.24
198,20.12,65.8,1612,9,329,398.66,12.38
199,15.38,67.3,1690,10,301,401.49,11.96
200,20.75,69.8,1134,7,302,402.38,12.14
201,16.16,67.2,1075,10,306,396.82,12.33
202,16.41,62.2,608,10,337,397.69,13.23
203,18.18,61.5,1364,6,305,397.29,13.88
204,16.4,65.7,547,10,312,398.47,13.18
205,15.28,70.5,1512,7,322,398.34,12.42
206,20.46,62.3,902,6,335,403.74,13.09
207,17.14,69.8,1572,10,310,398.35,13.86
208,21.64,68.7,1299,5,327,398.83,13.86
209,15.68,66.2,1311,9,326,401.53,13.02
210,18.33,64.2,1299,4,303,396.68,13.19
211,18.45,62.6,779,5,310,400.11,13.45
212,18.8,64.1,1899,10,325,396.85,14.06
213,16.7,67.6,695,5,301,401.26,14.05
214,17.7,68.2,1044,8,323,398.39,14.95
215,20.11,64.6,1429,7,320,396.49,15.48
216,18.49,62.5,814,10,337,397.9,15.66
217,21.17,67.1,1687,8,316,402.36,14.8
218,22.31,61.6,1823,6,301,397.54,15.22
219,18.71,65.2,1088,9,301,403.52,15.11
220,21.45,60.2,515,10,343,396.76,15.58
221,19.5,68.3,900,10,333,401.34,14.77
222,16.46,60.6,1052,6,302,402.65,13.86
223,17.39,70.2,1872,6,340,396.4,14.81
224,17.3,62.4,1362,3,311,400.09,14.76
225,21.68,65.8,893,1,314,399,15.47
226,18.32,64.8,1663,5,312,398.1,15.99
227,21.03,64.5,1242,9,340,402.37,16.96
228,21.35,67,1966,5,346,397.02,17.09
229,22.71,68.6,2110,8,318,396.07,17.6
230,23.88,66.2,1006,7,321,399.67,18.23
231,22.93,61.7,1815,7,354,401.35,18.92
232,23.47,62.5,942,6,309,396.32,18.48
233,18.44,65.3,701,8,304,396.42,18.57
234,22.2,69.1,1435,4,313,401.93,18.97
235,24.06,70.4,2008,7,329,403.07,19.62
236,20.27,69.8,1399,4,320,398.71,19.27
237,22.33,64.8,1651,7,335,396.69,18.99
238,20.42,62.7,1491,9,314,400.06,19.45
239,22.68,61.9,848,5,311,399.9,19.41
240,23.68,63.1,2000,10,354,401.58,18.44
241,24.19,66.9,1041,9,330,402.81,19.24
242,21.53,62.6,2115,9,334,402.1,19.38
243,18.68,63.9,2102,8,345,402.18,18.71
244,22.5,69.7,1310,9,332,397.53,18.89
245,20.17,63.5,1734,4,329,397.44,19.35
246,20.7,67.4,733,8,347,400.4,19.99
247,23.11,67.9,1326,8,339,403.74,20.58
248,24.89,69.2,1007,5,348,399.7,20.81
249,23.8,67.7,1298,9,355,399.26,20.77
250,24.29,61.5,2346,6,312,400.75,20.35
251,24.68,60.6,1204,6,335,398.75,19.79
252,20.62,66.6,857,10,326,400.73,19.74
253,19.31,63.7,2079,9,348,396.86,20
254,20.71,65.9,1822,10,313,402.8,19.74
255,19.39,64.2,2233,10,315,401.31,20.24
256,23.18,60.6,1028,8,321,401.29,21.02
257,23.61,67.6,2004,1,329,397.95,21.92
258,21.28,69,1786,9,357,399.7,21.56
259,22.75,69.3,1287,10,323,398.27,21.86
260,24.8,63.1,2522,10,364,399.95,21.44
261,20.85,63.4,2527,4,313,397.31,22.21
262,24.93,65.8,2297,6,333,400.96,22.1
263,21.39,70.8,2370,8,315,401.43,22.06
264,25.39,67.6,1511,3,321,399.12,21.5
265,22.27,65.4,2295,4,354,403.75,21.4
266,24.09,60.4,967,10,355,402.47,20.85
267,20.72,61.6,2307,7,347,397.09,20.24
268,20.44,65.8,527,10,358,400.51,20.57
269,21.14,59.7,784,10,345,400.67,21.53
270,19.97,65.5,2533,9,317,403.69,21.42
271,20.15,67.5,2427,4,343,402.32,22.12
272,22.15,67.8,2179,7,306,399.52,21.29
273,20.4,70.6,2147,10,352,400.56,21.77
274,23.89,62.2,1832,7,348,397.03,21.17
275,21.44,63.9,1066,8,303,401.4,21.39
276,21.32,67.7,988,3,325,400.51,21.66
277,21.14,62.9,809,7,361,402.3,21.47
278,23.87,63.7,1250,6,357,400.58,20.99
279,23.51,63,2333,8,337,397.48,21.46
280,24.18,66.7,978,10,344,396.3,20.93
281,22.61,65.5,865,8,314,399.75,20.27
282,24.49,69.9,1232,8,317,399.58,21.26
283,22.69,65.7,2469,9,354,403.4,21.28
284,23.79,69.7,1439,8,302,398.69,20.84
285,24.68,62,612,7,333,401.68,20.68
286,23.46,70.8,2312,10,314,399.81,20.78
287,21.02,63.9,1494,8,352,400.78,21.66
288,24.2,61,1627,7,316,399.92,21.22
289,21.8,60.1,816,10,328,399.15,21.69
290,21.76,64.9,1489,4,312,401.5,21.97
291,23.28,65.7,1346,9,330,402.48,21.22
292,22.74,69.6,1172,4,340,400.74,20.93
293,24.53,68,2084,10,333,398.43,21.15
294,24.29,64.6,1113,10,338,400.1,22.05
295,24.78,61.2,1731,1,329,402.64,21.13
296,23.38,62.3,1593,4,337,399.34,20.87
297,20.99,67.5,547,9,359,401.58,20.65
298,19.95,65.8,1412,10,322,401.57,21.42
299,22.56,66.6,2269,3,356,399.55,20.47
300,19.59,64.8,1567,4,305,401.62,20.21
301,23.97,64.7,836,1,341,402.07,19.82
302,19.88,61.4,1016,10,353,398.31,18.88
303,22.48,63.6,1044,5,330,403.5,18.71
304,20.85,61.9,2146,9,336,400.74,19.43
305,24.25,66.3,1975,6,324,402.11,19.45
306,21.15,70.1,1490,8,346,403.81,19.42
307,21.44,64.1,1098,10,304,401.93,19.89
308,20.41,66.1,1552,10,326,402.66,20.28
309,24.47,60,949,6,332,402.99,19.51
310,22.71,66.9,1318,6,336,398.81,20.4
311,24.13,64,1975,6,336,399.12,20.71
312,20.13,69.3,1709,10,346,399,20.97
313,21.59,62,1389,5,312,399.09,21.11
314,21.1,61.1,1717,9,351,403.75,21.61
315,20.58,66.5,1801,7,333,403.56,22.21
316,20.5,68.2,1329,10,331,397.17,22.12
317,20.05,61.3,738,9,343,399.51,21.13
318,21.82,66.8,1655,5,348,397.85,20.73
319,24.43,62.2,2110,7,301,397.44,21.71
320,22.51,64,1800,8,345,403.77,21.12
321,19.49,63.9,1958,3,333,401.05,20.44
322,20.13,63.3,2031,10,314,399.63,20.86
323,20.8,61.2,1839,10,328,400.57,19.86
324,24.12,65.1,1521,9,341,396.2,20.01
325,25.04,61.4,2276,8,340,398.43,20.51
326,19.59,62.8,987,10,314,401.09,19.53
327,22.31,69.3,752,2,349,402.43,19.68
328,23.95,65.4,2215,10,334,396.93,19.58
329,19.25,68.2,1226,7,350,400.8,19.52
330,23.3,67.2,1466,7,349,400.27,19.75
331,21.58,66.6,1827,8,349,401.71,19.97
332,22.96,62,1546,9,350,397.18,20.04
333,19.29,66.4,1269,8,315,399.87,20.02
334,23.99,63.6,1971,7,338,399.1,19.91
335,24.83,68.1,1356,8,311,402.03,19.76
336,23.6,69.2,2254,5,350,396.72,20.37
337,21.99,62.5,900,8,308,397.88,21.31
338,24.4,70.1,1511,8,311,402.25,20.33
339,21.53,65.9,1160,4,303,399.49,20.23
340,20.18,61.6,1777,10,352,403.76,19.41
341,18.75,67.7,752,10,325,396.75,19.07
342,20.34,67,1143,9,346,397.57,18.36
343,21.26,65.2,2058,8,338,401.93,18.75
344,18.44,65.6,2284,9,331,398.42,18.38
345,20.66,67.6,1266,7,303,401.54,18.86
346,19.59,67.9,2098,10,320,398.74,18.96
347,21.15,68.3,927,4,326,397.77,19.1
348,20.1,69.2,1583,5,347,402.47,18.31
349,20.53,60.3,591,7,329,396.45,17.53
350,18.45,63.5,2174,8,300,400.34,16.76
351,22.26,64.1,758,9,301,402.43,15.83
352,21.52,62.9,620,8,330,403.33,15.42
353,22.09,69.8,1144,9,305,401.85,15.71
354,20.35,63.6,1903,9,312,398.58,15.55
355,20.48,69.6,826,9,326,396.28,15.61
356,16.77,61.5,1198,8,339,396.02,14.61
357,22.14,65.2,861,5,309,399.61,15.35
358,17.92,64.6,800,7,337,400.67,15.45
359,20.49,66.3,1175,9,333,396.46,14.95
360,20.49,60.1,739,9,313,397.67,14.88
361,18.52,67.2,1957,10,343,403.69,14.83
362,20.6,64.7,1400,9,339,399.12,14.14
363,19.43,61.5,955,4,306,401.34,14.13
364,21.84,66.3,898,9,336,398.57,14.81
365,16.87,64,943,9,327,401.86,13.97
366,20.27,67.5,1405,10,308,397.42,14.58
367,20.09,66,544,6,325,401.83,14.56
368,22.28,63.2,1764,6,332,402.78,15.04
369,18.02,65.7,714,10,310,401.5,14.67
370,19.97,60.3,1049,9,323,397.31,15.62
371,19.62,65.3,1759,6,327,401.08,14.62
372,20.98,60.8,1308,0,330,400.17,15.58
373,19.95,65.4,632,10,307,403.26,14.97
374,17.42,66.4,987,9,318,397.83,14.62
375,21.45,63.5,1514,6,308,400.17,14.58
376,19.34,69.1,1742,9,313,403.5,13.81
377,17.83,60.9,1267,9,339,403.76,13.52
378,17.29,64,844,10,312,402.88,13.52
379,20.76,65.7,1197,4,323,403.32,14.3
380,17.31,70.7,1796,10,325,400.3,14.03
381,17.85,64.2,781,10,304,401.81,14.06
382,19.85,67.6,1078,8,301,398.51,14.9
383,19.1,65.1,548,4,333,398.24,13.95
384,18.87,67.6,968,7,313,403.17,14.08
385,18.48,61.1,1184,9,318,396,14.97
386,18.95,63,1707,9,317,397.45,14.36
387,17.19,61.8,976,10,339,401.68,13.94
388,21.92,60.6,810,7,331,396.58,14.33
389,19.31,62.4,1360,8,330,400.97,14.66
390,18.8,62.9,1709,8,327,401.92,14.04
391,19.73,64.2,1695,8,316,403.34,14.55
392,20.41,61.5,708,4,327,403.39,14.33
393,20.02,63.8,1660,9,314,399.18,14.84
394,17.97,67.5,710,6,342,401.1,15.69
395,22.97,65.8,1347,10,338,398.65,16.29
396,19.46,67.3,1723,6,313,396.11,17
397,20.97,59.7,569,7,317,396.19,17.08
398,23.66,62.6,626,6,322,401.7,17.7
399,18.76,65.5,1302,9,329,399.64,17.86
400,19.83,67.4,1524,4,337,400.34,17.91
401,23.77,63.9,1248,7,343,402.21,18.33
402,19.57,65.9,1383,8,312,401.96,18.69
403,20.03,60.1,946,4,328,398.93,18.95
404,20.9,60.5,590,4,349,398.68,19.4
405,22.01,61.5,1996,9,352,397.46,19.16
406,22.42,61.3,1723,10,325,401.56,18.68
407,22.56,70.1,2198,7,301,403,18.5
408,20.25,67.3,1662,10,349,398.44,18.37
409,20.44,68.8,2019,5,347,399.25,18.68
410,20.63,70.6,1826,7,349,397.04,18.35
411,21.52,69.5,2245,9,329,402.86,18.87
412,23.11,61.4,1220,7,343,397.42,19.51
413,19.81,61.9,1164,9,306,399.15,20.27
414,24.05,68.2,556,6,356,402.76,19.75
415,23.34,66.1,1610,7,314,402.39,19.26
416,20.27,66.9,2130,6,324,398.28,19.96
417,22.74,67.3,2220,8,340,398.17,20.19
418,22.21,66.9,1152,8,317,396.06,20.66
419,20.42,69.2,1331,7,317,398.62,21.35
420,21.37,69.1,2462,10,364,401.39,21.43
421,23.99,64.2,873,10,312,396.84,22.29
422,23.56,61.1,1825,8,359,403.15,22.62
423,22.82,60.3,961,2,338,396.46,22.53
424,23.55,65.8,2509,10,364,399.22,22.73
425,26.61,69,1586,8,355,402.32,23.68
426,24.85,69.7,1733,8,321,403.82,23.76
427,25.89,65.1,1381,10,356,397.27,24.75
428,25.26,64.8,2346,9,313,396.1,25.13
429,26.11,66.6,1055,9,301,402.1,26.07
430,24.22,68.3,2302,10,352,396.32,26.02
431,25.17,70.9,2022,9,373,402.67,25.82
432,23.93,70.1,2192,7,336,398.92,25.38
433,25.96,70.6,1863,3,356,396.32,24.65
434,25.52,65.1,1779,10,320,398.77,24.8
435,26.9,62.2,2829,8,352,398.86,24.23
436,26.72,68.2,2818,7,371,398.5,25.22
437,27.04,64.8,2225,6,342,399.7,24.46
438,23.73,69.5,1766,8,312,401.47,23.68
439,26.69,63,2230,10,311,400.78,24.03
440,24.11,66.4,987,10,347,398.05,24.1
441,23.02,68.9,1090,9,369,402.17,23.67
442,23.77,66.5,1461,10,302,399.33,24.06
443,26.42,70.7,1923,9,310,400.12,24.38
444,23.49,68.5,2728,8,323,397.18,24.62
445,26.68,66.7,1655,10,362,400.92,23.87
446,21.82,67.2,2714,10,341,398.04,23.76
447,26.36,62,1989,4,355,401.91,24.57
448,26.78,66.7,1705,9,325,401.89,24.42
449,23.77,65.8,550,5,359,401.84,23.62
450,25.63,64.1,2175,9,312,403.92,23.63
451,25.83,65,1896,10,321,398.37,23.33
452,21.45,65.3,2739,8,318,403.83,22.76
453,23.47,67.2,1735,4,309,396.5,23.63
454,25.79,68,1787,8,319,398.1,23.03
455,25.73,66.9,2221,10,366,400.08,23.85
456,25.18,61.5,2514,9,325,402.75,24.67
457,24.54,66.3,2686,8,369,402.83,24.19
458,23.34,66,923,10,329,401.77,24.21
459,26.24,68.7,1361,8,354,397.26,24.94
460,22.3,64.7,1904,9,318,398.06,24.13
461,22.73,60.6,660,5,369,401.73,23.77
462,23.14,64.4,1981,7,337,400.24,24.4
463,26.3,62.4,2571,9,332,400.61,23.58
464,26.27,64.3,788,8,337,403.3,24.57
465,21.78,68.9,1705,9,301,403.65,23.74
466,23.53,69,1781,9,312,403.93,23.4
467,22.12,66.4,1396,8,310,400.59,23.35
468,24.56,67.1,1040,9,303,401.33,23.73
469,25.29,67.4,1982,8,325,400.26,23.93
470,21.58,63.1,2339,10,335,403.22,23.87
471,25.5,66.5,2260,9,305,403.57,23.53
472,22.39,61.6,1977,7,341,402.31,23.49
473,23.21,69.3,1260,9,364,403.49,23.65
474,25.67,61.5,1516,9,330,398.05,23.26
475,25.83,66.8,2781,10,345,402.21,22.93
476,20.46,67.9,1551,7,306,397.08,22.86
477,24.09,69.2,1856,10,366,400.03,22.23
478,21.91,67.4,1782,5,330,403.33,22.88
479,25.28,67,1675,5,325,396.41,22.85
480,21.93,62.9,1973,7,348,403.44,23.82
481,22.91,64.8,635,7,336,396.41,24.27
482,24.72,66.3,1305,10,316,398.04,25.06
483,24.15,63.6,2711,10,305,400.41,24.76
484,23.84,65.9,1920,5,332,402.71,24.42
485,21.98,66.8,1979,10,366,398.5,24.34
486,22.21,70.6,2277,3,302,396.17,24.92
487,25.75,66.8,2629,10,362,396.84,25.82
488,22.1,66.8,2113,10,359,400.17,26.18
489,23.42,69.3,2357,10,349,399.03,25.68
490,22.41,62.9,2180,10,341,402.4,25.36
491,26.32,60.3,766,5,347,402.4,24.96
492,25.63,65,840,3,327,400.77,25.64
493,23.15,68.5,1689,10,353,403.62,25.53
494,22.8,65.7,2796,9,359,400.83,25.26
495,27.18,67.6,872,9,353,396.57,24.8
496,23.07,62.4,2873,7,333,399.63,23.9
497,24.2,70.3,2560,7,366,399.22,24.72
498,22.71,63.6,1939,10,325,403.95,23.77
499,23.42,64.7,696,7,321,402.51,24.26
500,22.42,71.4,2753,10,342,400.73,24
501,25.17,66.2,2807,9,367,401.79,24.14
502,23.28,61.4,649,7,335,401.88,23.28
503,22.12,67.3,2436,10,318,396.67,22.48
504,23.36,62.1,522,8,302,403.79,22.75
505,25.08,68.1,2682,10,332,400.67,23.51
506,24.02,67.8,683,3,314,400.21,24.25
507,23.69,68.8,2504,10,368,401.38,23.5
508,25.59,62.6,599,9,349,402.13,23.15
509,21.28,63.2,656,7,367,397.9,23.53
510,24.55,68,2460,9,324,401.81,23.61
511,21.72,61.8,841,8,369,396.85,23.1
512,22.8,68.5,2463,9,350,399.51,22.67
513,21.86,61.4,1870,9,315,402.31,22.6
514,21.45,68,1562,7,327,400.02,22.65
515,21.16,60.3,1043,10,312,401.51,22.43
516,24.5,66.3,1026,6,322,397.09,21.65
517,24.44,67.1,599,10,339,400.14,22.1
518,26.18,65.4,1729,9,339,403.81,22.6
519,21.98,64.5,1134,9,341,396.24,22.97
520,25.31,65.6,2527,2,320,396.13,22.55
521,20.83,68.4,1845,9,305,397.02,23.02
522,26.46,61.8,573,7,326,403.87,24.01
523,26.17,64.8,1160,4,333,396.82,24.62
524,21.71,70.7,2372,10,371,402.65,24.26
525,27.2,67.4,2507,10,334,396.71,25.03
526,22.2,61.2,1067,10,375,397.66,26
527,25.27,62.3,2028,7,316,400.31,25.56
528,26.43,67.3,1947,2,358,400.2,25.09
529,21.99,60.5,1406,9,346,399.48,25.45
530,22.5,65,796,9,362,398.32,26.07
531,26.11,65.2,1750,5,370,402.3,26.34
532,24.24,66.9,913,6,371,397.88,27.22
533,24.23,61.5,2013,6,307,396.13,26.86
534,23.28,68,3079,10,344,400.86,27.66
535,26,63.7,1282,8,343,401.03,27.21
536,26.26,62.3,3142,9,379,400.44,28.12
537,24.63,63,1668,10,335,401.24,28.16
538,27.51,63.2,1007,5,348,397.91,28.29
539,27.35,63.2,1392,10,322,399.02,29.01
540,24.67,66.1,1340,10,367,400.31,28.67
541,27.81,62.5,845,6,366,399.07,27.84
542,28.55,70.3,2943,10,348,398.74,28.32
543,27.44,64.9,1806,8,364,396.79,28.05
544,23.65,63.4,1782,4,337,402.59,27.76
545,25.09,68.6,684,4,357,402.43,27.96
546,28.56,70.1,1125,9,368,400.82,28.05
547,28.18,69,1856,6,372,400.59,27.74
548,29.14,63.4,3111,10,323,400.92,28.7
549,24.69,66.9,1639,8,356,402.93,28.59
550,27.76,64.4,698,9,376,399.74,28.23
551,26.04,64.3,2178,9,369,399.03,27.49
552,25.03,61.5,1131,9,364,400.52,27.56
553,27.93,64.3,999,5,352,400.45,26.79
554,24.67,68.8,751,5,371,397.5,27.71
555,29.17,66.4,688,5,331,402.1,28.56
556,24.51,66,3098,9,335,403.21,27.64
557,26.17,68.5,2483,1,364,403.35,27.2
558,25.93,66.2,1579,9,369,403.51,27.65
559,26.96,61.6,2646,8,315,402.23,28.56
560,28.24,65,2522,6,362,402.23,29.24
561,28.62,68.6,510,8,387,399.33,29.74
562,24.93,65.9,2523,8,308,401.48,29.46
563,26.92,71.4,3313,10,352,397.31,28.5
564,23.85,66.2,2695,9,350,402.27,29.5
565,27.03,69,839,4,329,401.87,30.08
566,29.13,65.5,1849,10,334,396.17,29.3
567,28.44,60.5,989,6,320,396.35,28.92
568,29.26,67.9,3424,9,388,400.34,29.56
569,27.76,65.5,1214,5,348,401.02,29.73
570,24.35,63.6,1394,6,336,399.72,29.08
571,26.54,60.8,808,6,369,403.85,29.85
